esperimento,crop,matcher,preprocess,morph_open,morph_close,codici,modello,degrado,rot_deg,scala,tx,ty,prospettiva,ratio,loftr_conf,loftr_max_lato,ransac_thresh,seed,n_kp_a,n_kp_b,n_matches,n_inliers,inlier_ratio,rmse_px,rmse_m,err_max_px,success_stima,success,motivo,t_init_ms,t_match_ms,t_stima_ms
E1,tassarole,sift,clahe,0,0,,homography,1.4,15,1.15,30,20,0.0,0.75,,,3.0,42,4727,3295,262,124,0.473282,548.4224802639403,139.5477453706004,1077.862726319216,True,False,,,291.9,2.7
E1,tassarole,sift,clahe,0,0,,homography,1.5,15,1.15,30,20,0.0,0.75,,,3.0,42,4727,3122,620,431,0.695161,535.7601425296392,136.32577554709428,975.5570586021552,True,False,,,295.3,22.2
E1,tassarole,sift,clahe,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4727,4727,4727,4727,1.0,1.4283409533787243e-12,3.634456406100765e-13,4.472447456719465e-12,True,True,,,329.1,1.6
E1,tassarole,sift,clahe,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4727,4383,2967,2895,0.975733,0.035315564574962995,0.008986151352793058,0.05378057904692098,True,True,,,319.3,1.0
E1,tassarole,sift,clahe,0,0,,homography,0.0,15,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4727,4250,2814,2698,0.958778,0.09736962740878605,0.024775993803047836,0.13879492041044125,True,True,,,319.8,1.0
E1,tassarole,sift,clahe,0,0,,homography,0.0,30,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4727,4080,2782,2707,0.973041,0.18947530063833737,0.048212558673326855,0.2054533425804256,True,True,,,315.8,1.0
E1,tassarole,sift,clahe,0,0,,homography,0.0,45,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4727,3816,2580,2502,0.969767,0.2766690882785709,0.0703992795197472,0.3070410212742452,True,True,,,318.8,1.0
E1,tassarole,sift,clahe,0,0,,homography,0.0,90,1.0,0.0,0.0,0.0,0.75,,,3.0,42,4727,4739,4234,4215,0.995513,0.5014379253693622,0.1275923844240103,0.5070745825874321,True,True,,,327.6,4.0
E1,tassarole,sift,sauvola,0,0,,homography,0.0,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,2885,854,702,0.822014,0.16748490359089174,0.04261703617341318,0.37972811135654283,True,True,,,282.8,0.8
E1,tassarole,sift,sauvola,0,0,,homography,0.25,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,2972,779,618,0.793325,0.15180963095222164,0.03862841602468565,0.3281213999687844,True,True,,,274.3,0.7
